price,mileage,power,make_model,date,fuel,gear,offer_type
23990,150,218.0,Honda,03/2020,Gasoline,Manual,Demonstration
7500,2871,90.0,BMW F 800 GT,09/2018,Gasoline,Manual,Used
800,1700,3.0,Nova Motors Retro Star,10/2019,Gasoline,Manual,Used
14990,24345,206.15759843345688,Aprilia RSV4,03/2016,Gasoline,Manual,Used
6200,25000,128.0,Kawasaki Ninja ZX-6R,08/2009,Gasoline,Manual,Used
1500,3000,1.0,Aprilia Mojito 50,07/2010,Gasoline,Manual,Used
10500,1,71.0,Suzuki V-Strom 650,12/2021,Gasoline,Manual,Pre-registered
8500,13000,105.0,Yamaha MT-09,05/2018,Gasoline,Manual,Used
2000,19000,15.0,Kymco Super Dink 125,10/2016,Gasoline,Manual,Used
8250,6400,126.0,Yamaha MT-09,06/2019,Gasoline,Manual,Used
23600,2900,84.0,Harley-Davidson Sport Glide,06/2019,Gasoline,Manual,Used
12500,1750,126.0,Indian FTR 1200,07/2019,Gasoline,Manual,Used
18000,700,41.0,Ural Ranger,03/2021,Gasoline,Manual,Used
1150,14000,10.0,Kymco Agility 125,05/2015,Gasoline,Manual,Used
10000,80000,125.0,Harley-Davidson Night Rod,09/2010,Gasoline,Manual,Used
10000,15300,110.0,Ducati Hypermotard 939,07/2018,Gasoline,Manual,Used
12200,4178,110.0,BMW R nineT,06/2018,Gasoline,Manual,Used
12500,18000,82.0,Harley-Davidson Road King,02/1996,Gasoline,Manual,Used
9490,10000,206.15759843345688,Kawasaki Versys 650,01/2019,Gasoline,Manual,Used
9490,12600,61.0,BMW R 1200 C Montauk,01/2004,Gasoline,Manual,Used
10000,49500,64.0,Harley-Davidson Softail,05/2004,Gasoline,Manual,Used
9999,0,206.15759843345688,Yamaha,01/2021,Gasoline,Manual,New
10950,10551,185.0,Suzuki,05/2015,Gasoline,Manual,Used
16690,0,206.15759843345688,BMW R nineT,01/2019,Gasoline,Manual,New
1100,60,206.15759843345688,Others,09/2018,Gasoline,Automatic,Used
8000,5200,68.0,Peugeot Metropolis,03/2016,Gasoline,Automatic,Used
6590,27630,68.0,Triumph Bonneville T100,06/2009,Gasoline,Manual,Used
7000,8470,61.0,Kawasaki Vulcan S,07/2019,Gasoline,Manual,Used
7650,14500,131.0,Triumph Speed Triple 1050,03/2010,Gasoline,Manual,Used
8300,52000,57.0,Harley-Davidson Low Rider,04/1989,Gasoline,Manual,Used
11300,41973,152.0,Ducati Multistrada 1200,07/2016,Gasoline,Manual,Used
19990,6000,203.0,Kawasaki,01/2019,Gasoline,Manual,Used
